algorithm,run,best_true,best_x1,best_x2,feasible,evals
SA,0,-0.7347480894517202,0.8369259666725928,0.5270811850729012,True,2000
GA,0,-0.7349146310328866,0.8372927000755526,0.5242895589518828,True,2000
ARSA,0,-0.7280668211541121,0.8404458180370238,0.5418955867545685,True,2000
SA,1,-0.7104772601605502,0.8588621031040399,0.512206879933983,True,2000
GA,1,-0.7348180075992071,0.8374563967319437,0.5220980940830697,True,2000
ARSA,1,-0.6995919478519886,0.8264387814757893,0.5630265894900637,True,2000
SA,2,-0.7298748733916975,0.8449272363435127,0.5348812627910178,True,2000
GA,2,-0.7345771741900724,0.8397322410165684,0.5251411693352984,True,2000
ARSA,2,-0.733058327405316,0.8375564866639794,0.5337252501173787,True,2000
SA,3,-0.7345873913526648,0.8397415454815321,0.5246911402432841,True,2000
GA,3,-0.7349118315097057,0.8370143829962065,0.5236887339805728,True,2000
ARSA,3,-0.7333580649910709,0.8333991017894916,0.5173542667907165,True,2000
SA,4,-0.7301644593737522,0.8420324969765416,0.5109593198605072,True,2000
GA,4,-0.7349068733793798,0.8369957178368725,0.5249268973371929,True,2000
ARSA,4,-0.7298229557449583,0.8440900678250436,0.5362014149544119,True,2000
SA,5,-0.7306969414787728,0.8422163479743006,0.5364633188918845,True,2000
GA,5,-0.7348524880853105,0.8377740199790125,0.5256362466461015,True,2000
ARSA,5,-0.7304970781866521,0.8421563152820937,0.5369133745678738,True,2000
SA,6,-0.7298653879273876,0.844506311353099,0.5355456003785138,True,2000
GA,6,-0.7349016162540782,0.8376241919103647,0.5244218144291227,True,2000
ARSA,6,-0.7294809071571842,0.8427920332922403,0.5382393413892479,True,2000
SA,7,-0.7321338810436018,0.8297530935894208,0.528608870030968,True,2000
GA,7,-0.7349153701064348,0.8372025441955404,0.5239910035999277,True,2000
ARSA,7,-0.72986360013936,0.8451914791371694,0.5344636223298306,True,2000
SA,8,-0.7340156129146951,0.8339079967099401,0.5289365616243547,True,2000
GA,8,-0.7349091367690528,0.8374770929071278,0.5242005342577606,True,2000
ARSA,8,-0.7262155029542695,0.8509862509436091,0.5251879670222277,True,2000
SA,9,-0.7328134660909941,0.8428763306921242,0.5296248333299938,True,2000
GA,9,-0.7349095495220128,0.8373283952956521,0.5246748169965055,True,2000
ARSA,9,-0.7275965262106993,0.8399039610651173,0.5427350515556606,True,2000
SA,10,-0.73398491358535,0.8330672396551987,0.520909521097998,True,2000
GA,10,-0.7349167273795891,0.8369292322320121,0.5241280740722706,True,2000
ARSA,10,-0.7229521655582741,0.8223677598532544,0.5137265449708874,True,2000
SA,11,-0.7315317864769271,0.8286946507628599,0.527747626220996,True,2000
GA,11,-0.734889274451288,0.8377539731811139,0.5247458696817242,True,2000
ARSA,11,-0.729510062931972,0.8467904098336162,0.5319266883827283,True,2000
SA,12,-0.7284708616945571,0.8409701313947453,0.5410815447803641,True,2000
GA,12,-0.7349120638472535,0.8367324642746291,0.5244308253530356,True,2000
ARSA,12,-0.7298741989462314,0.8449599696352622,0.5348295520200589,True,2000
SA,13,-0.7347977414768159,0.8383896090805432,0.5228490491294017,True,2000
GA,13,-0.7349022407590053,0.8365142104492758,0.5245605463017791,True,2000
ARSA,13,-0.7298674241996567,0.8451297701955273,0.5345611953081286,True,2000
SA,14,-0.7280251407501155,0.8492191480667117,0.5280405652569208,True,2000
GA,14,-0.7349126153443286,0.8370177421580884,0.5237262442110605,True,2000
ARSA,14,-0.72987554345087,0.8448727795708857,0.5349672759526191,True,2000
SA,15,-0.727824905659135,0.840159417907329,0.5423395177392277,True,2000
GA,15,-0.734915708028911,0.8370539190248375,0.523918073186077,True,2000
ARSA,15,-0.7281852055885072,0.8490263557731635,0.5283504965480224,True,2000
SA,16,-0.7348697886231821,0.8360808871866979,0.5247413622944961,True,2000
GA,16,-0.7348910576674196,0.8367618295648597,0.5252643769888639,True,2000
ARSA,16,-0.729841838726339,0.8442384013540523,0.5359678364222558,True,2000
SA,17,-0.7340819346774701,0.841308877495897,0.5232589758212197,True,2000
GA,17,-0.7348577303962764,0.836635508436784,0.5226137013736665,True,2000
ARSA,17,-0.7298498032691642,0.8443134176628554,0.535849654991462,True,2000
SA,18,-0.7298713941710738,0.845047467964793,0.5346912912010932,True,2000
GA,18,-0.7348917982558076,0.8376334262690428,0.52492210731534,True,2000
ARSA,18,-0.7288299846675472,0.8415032997943956,0.5402519749479342,True,2000
SA,19,-0.7298154900123197,0.844038985578939,0.5362818203359832,True,2000
GA,19,-0.7349090304328625,0.8374654364895369,0.5243797982178293,True,2000
ARSA,19,-0.7346979396779336,0.8390872439521098,0.5254939737935425,True,2000
SA,20,-0.7345488344217569,0.8399115343520936,0.5241148839964825,True,2000
GA,20,-0.7349090666660958,0.8371477517939406,0.5248353109860167,True,2000
ARSA,20,-0.7020627574802765,0.8106905074974665,0.5341146715283931,True,2000
SA,21,-0.7298585753052259,0.8444110812088634,0.5356957400723643,True,2000
GA,21,-0.7349167613159356,0.8370199368475527,0.5240283656779252,True,2000
ARSA,21,-0.7297708083801091,0.8458837499173811,0.5333673046088497,True,2000
SA,22,-0.7017774728977523,0.8271381113666898,0.5619987052696344,True,2000
GA,22,-0.73489886007742,0.8374950975543604,0.5235321591537845,True,2000
ARSA,22,-0.729763818960364,0.8437492253798259,0.5367375938677521,True,2000
SA,23,-0.7316992433306638,0.8313853679767244,0.5148974821037409,True,2000
GA,23,-0.7348840948702849,0.8375202703819888,0.5252818340899417,True,2000
ARSA,23,-0.7297210326708768,0.8435579237713379,0.5370382009155303,True,2000
SA,24,-0.7317132549491243,0.8360031858943902,0.5118203142719436,True,2000
GA,24,-0.7349149506981707,0.8371654409289264,0.5245162653696618,True,2000
ARSA,24,-0.7298465139791281,0.8442812072605361,0.5359004040553537,True,2000
SA,25,-0.7339041886886524,0.8325424388675171,0.5219595334002333,True,2000
GA,25,-0.7348782401080278,0.8364721006155588,0.523115644411602,True,2000
