algorithm,param1,value1,param2,value2,median_best_true,IQR
SA,T0,0.3,alpha,0.99,-0.7278247218912117,0.31383342142664195
SA,T0,0.3,alpha,0.995,-0.7298700665290684,0.0033053409178052107
SA,T0,0.3,alpha,0.998,-0.7314930127630621,0.0029245626298810556
SA,T0,0.8,alpha,0.99,-0.7298572395033351,0.007202579660667063
SA,T0,0.8,alpha,0.995,-0.7298179020287268,0.004060001197183971
SA,T0,0.8,alpha,0.998,-0.7339907611550843,0.0016270189915817967
SA,T0,1.5,alpha,0.99,-0.7297619987353221,0.002283102383293767
SA,T0,1.5,alpha,0.995,-0.7316421771009074,0.0034880612772107966
SA,T0,1.5,alpha,0.998,-0.7330376442109472,0.0032593641082344638
SA,T0,3.0,alpha,0.99,-0.7313405282539907,0.005716865095713453
SA,T0,3.0,alpha,0.995,-0.7330011126958397,0.004758435450327614
SA,T0,3.0,alpha,0.998,-0.734265925399449,0.0006121375468181034
GA,crossover_prob,0.6,mutation_step0,0.08,-0.7349077074042065,5.541109125006827e-05
GA,crossover_prob,0.6,mutation_step0,0.15,-0.7349007009920967,3.11683924925088e-05
GA,crossover_prob,0.6,mutation_step0,0.25,-0.7349038900559934,4.8844714882756435e-05
GA,crossover_prob,0.6,mutation_step0,0.4,-0.7348814316532227,0.0001361381606790335
GA,crossover_prob,0.8,mutation_step0,0.08,-0.7349040185031241,1.6656237011414277e-05
GA,crossover_prob,0.8,mutation_step0,0.15,-0.7349077530857173,1.945299780670151e-05
GA,crossover_prob,0.8,mutation_step0,0.25,-0.7349026051880674,2.6923083687013794e-05
GA,crossover_prob,0.8,mutation_step0,0.4,-0.7348603278935772,6.817490108845803e-05
GA,crossover_prob,0.9,mutation_step0,0.08,-0.7349057027492445,3.280524546833696e-05
GA,crossover_prob,0.9,mutation_step0,0.15,-0.734902735486187,2.0605659976746793e-05
GA,crossover_prob,0.9,mutation_step0,0.25,-0.734897405973844,4.433390587443853e-05
GA,crossover_prob,0.9,mutation_step0,0.4,-0.7349099384304361,1.769092493675295e-05
GA,crossover_prob,1.0,mutation_step0,0.08,-0.7349080771978606,1.2999300657901003e-05
GA,crossover_prob,1.0,mutation_step0,0.15,-0.7348981730766595,3.0101229357093473e-05
GA,crossover_prob,1.0,mutation_step0,0.25,-0.7349120932089876,1.5614437339772635e-05
GA,crossover_prob,1.0,mutation_step0,0.4,-0.7349077722595433,4.699173875166718e-05
