algorithm,T0,alpha,crossover_prob,mutation_step0,median_true_f,iqr_true_f,runs
SA,0.3,0.99,,,-0.6648501058365404,0.2913348030220925,15
SA,0.3,0.995,,,-0.7170976882293889,0.11715735699494867,15
SA,0.3,0.998,,,-0.6977530907654428,0.07008278244933996,15
SA,0.8,0.99,,,-0.6651677580456912,0.31408562792764627,15
SA,0.8,0.995,,,-0.6705041599467938,0.07896894539927413,15
SA,0.8,0.998,,,-0.7119375121779746,0.021513216095787935,15
SA,1.5,0.99,,,-0.6926169583489539,0.07098603793467839,15
SA,1.5,0.995,,,-0.7200972343267676,0.045436320864534196,15
SA,1.5,0.998,,,-0.7287591408747759,0.007763486967510502,15
SA,3.0,0.99,,,-0.6705952944070188,0.16209497998620226,15
SA,3.0,0.995,,,-0.7084363461691536,0.09783706809213066,15
SA,3.0,0.998,,,-0.7158618445295409,0.024921284226347984,15
GA,,,0.6,0.08,-0.7110034624229205,0.03149517413819758,15
GA,,,0.6,0.15,-0.7143935800252943,0.02332438005695936,15
GA,,,0.6,0.25,-0.7152356286213701,0.01611871717814073,15
GA,,,0.6,0.4,-0.7006189808785896,0.031143241952545475,15
GA,,,0.8,0.08,-0.7076496923705936,0.04690620559994396,15
GA,,,0.8,0.15,-0.7212669776436459,0.022232671693237505,15
GA,,,0.8,0.25,-0.7150054252580044,0.020880023293442074,15
GA,,,0.8,0.4,-0.7242298279883893,0.008900203070408175,15
GA,,,0.9,0.08,-0.7209501764088063,0.07285025619891083,15
GA,,,0.9,0.15,-0.7224945112345077,0.02224364731757833,15
GA,,,0.9,0.25,-0.7225331152899235,0.014186757456483012,15
GA,,,0.9,0.4,-0.7005508908884502,0.0844518016671697,15
GA,,,1.0,0.08,-0.724037780547697,0.009201049250133653,15
GA,,,1.0,0.15,-0.7055625334879585,0.058416310151025996,15
GA,,,1.0,0.25,-0.7143638470980711,0.06282731955124232,15
GA,,,1.0,0.4,-0.7231188985640096,0.021626796244204716,15
