algorithm,run,seed,best_x1,best_x2,best_true_f,feasible,evals
SA,0,20260437,0.8347646204562192,0.542237292705351,-0.7280544388187092,True,2000
GA,0,20260449,0.8021860675966542,0.5445759156847841,-0.6733801238141727,True,2000
NAMS,0,20260463,0.8268984650151698,0.5125871056672118,-0.7275060412074996,True,2000
SA,1,20261446,0.8297545900016096,0.5034876286874475,-0.7236832486225608,True,2000
GA,1,20261458,0.8412778330225849,0.5406030037512036,-0.7286845025198019,True,2000
NAMS,1,20261472,0.8222566969062077,0.5284884113429021,-0.7247495222161371,True,2000
SA,2,20262455,0.8374068309022334,0.5465800943670359,-0.7247448846484174,True,2000
GA,2,20262467,0.8324812310427361,0.5540532465039534,-0.715917685580649,True,2000
NAMS,2,20262481,0.8415303769241346,0.5402097969436725,-0.7288468257423553,True,2000
SA,3,20263464,0.868450026961256,0.49577671453084,-0.6738490772522792,True,2000
GA,3,20263476,0.8597022539472273,0.5107954919124258,-0.7080437811575152,True,2000
NAMS,3,20263490,0.8473192144299374,0.5190755846448712,-0.7296135796777782,True,2000
SA,4,20264473,0.48189570672948834,0.876228581955466,-0.4184452348668353,True,2000
GA,4,20264485,0.8632815521123631,0.5047226582812279,-0.6960153456649063,True,2000
NAMS,4,20264499,0.8504306421092389,0.5260871819020755,-0.7268512763061548,True,2000
SA,5,20265482,0.7908196915692297,0.6120491936326264,-0.5076070881632018,True,2000
GA,5,20265494,0.8477705742064862,0.5303631336260136,-0.7290493195484472,True,2000
NAMS,5,20265508,0.8546505143868617,0.5102369907114619,-0.7168648827680304,True,2000
SA,6,20266491,0.8271979864663909,0.558890713753294,-0.7063234765636852,True,2000
GA,6,20266503,0.8323619926009421,0.5542323639714566,-0.7156528379571985,True,2000
NAMS,6,20266517,0.8540459243012307,0.5112639175598893,-0.7183852658928038,True,2000
SA,7,20267500,0.8282579981630698,0.5603469358164674,-0.7051191051700506,True,2000
GA,7,20267512,0.8679808920722392,0.4965975946352137,-0.6760966364162627,True,2000
NAMS,7,20267526,0.8018495767907357,0.5437013656394889,-0.6730017307857183,True,2000
SA,8,20268509,0.7911627357751448,0.5393309316619697,-0.6382107249167297,True,2000
GA,8,20268521,0.8439702820139054,0.5363899356600281,-0.729804671583364,True,2000
NAMS,8,20268535,0.8660886663707289,0.4932109342941169,-0.6770917055642094,True,2000
SA,9,20269518,0.44079962527827515,0.8976055315975565,-0.3555540373738717,True,2000
GA,9,20269530,0.8291692442739902,0.558997642526424,-0.707692543650668,True,2000
NAMS,9,20269544,0.8310202437876016,0.48822958565337854,-0.706566440028465,True,2000
SA,10,20270527,0.8529460994187538,0.5210053488157846,-0.7233552100285419,True,2000
GA,10,20270539,0.8628820211878081,0.505405399170649,-0.697492056632141,True,2000
NAMS,10,20270553,0.836447241165937,0.5480474548302298,-0.7233541820544916,True,2000
SA,11,20271536,0.8461766685565526,0.5329024728695994,-0.7297038797617523,True,2000
GA,11,20271548,0.869745607021371,0.4935003334011304,-0.6673969392501669,True,2000
NAMS,11,20271562,0.8082366321386558,0.5308901722582884,-0.6970661728630065,True,2000
SA,12,20272545,0.4653403406766845,0.8851318361345428,-0.4119077606161983,True,2000
GA,12,20272557,0.8390395255190713,0.5440704684291654,-0.7267360116878071,True,2000
NAMS,12,20272571,0.8187580203830116,0.5741387498318606,-0.6708271547611978,True,2000
SA,13,20273554,0.47398490931199444,0.880532966869782,-0.4184222804569883,True,2000
GA,13,20273566,0.8446797891774992,0.5352719437398673,-0.7298733758560609,True,2000
NAMS,13,20273580,0.8671896583193707,0.4979780080524971,-0.6797805042925379,True,2000
SA,14,20274563,0.8553446132139699,0.5180594489494851,-0.7190741090293211,True,2000
GA,14,20274575,0.8621099793697187,0.5067212088230993,-0.7002498958342027,True,2000
NAMS,14,20274589,0.8233533508225459,0.5462419066814833,-0.7167519899020197,True,2000
SA,15,20275572,0.47963254378481324,0.877469442740036,-0.41900885928233395,True,2000
GA,15,20275584,0.8461200827062155,0.5329923129288331,-0.7297180943826993,True,2000
NAMS,15,20275598,0.8339795688197209,0.5517953232778186,-0.7190424721306458,True,2000
SA,16,20276581,0.8030297383998564,0.5109828338992733,-0.6792727632287894,True,2000
GA,16,20276593,0.816911844368,0.5767625495221345,-0.6626838030471012,True,2000
NAMS,16,20276607,0.8394926237218816,0.5433710838060406,-0.7272039012586432,True,2000
SA,17,20277590,0.8631374611878645,0.4482924776191865,-0.5874313556381985,True,2000
